Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Absolute_Melting_Point,Absolute_Boiling_Point,Critical_Pressure,Critical_Temperature,Heat_of_Fusion,Heat_of_Vaporization,Heat_of_Combustion,Specific_Heat,Adiabatic_Index,Neel_Point,Thermal_Conductivity,Thermal_Expansion,Density_Liquid,Molar_Volume,Brinell_Hardness,Mohs_Hardness,Vickers_Hardness,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio,Refractive_Index,Speed_of_Sound,Valence,Electronegativity,ElectronAffinity,Autoignition_Point,Flashpoint,DOT_Hazard_Class,DOT_Numbers,EU_Number,NFPA_Fire_Rating,NFPA_Health_Rating,NFPA_Reactivity_Rating,RTECS_Number,Alternate_Names,Block,Group,Period,Electron_Configuration,Color,Gas_phase,CAS_Number,CID_Number,Gmelin_Number,NSC_Number,Electrical_Type,Electrical_Conductivity,Resistivity,Superconducting_Point,Magnetic_Type,Curie_Point,Mass_Magnetic_Susceptibility,Molar_Magnetic_Susceptibility,Volume_Magnetic_Susceptibility,Percent_in_Universe,Percent_in_Sun,Percent_in_Meteorites,Percent_in_Earths_Crust,Percent_in_Oceans,Percent_in_Humans,Atomic_Radius,Covalent_Radius,Van_der_Waals_Radius,Space_Group_Name,Space_Group_Number,HalfLife,Lifetime,Decay_Mode,Quantum_Numbers,Neutron_Cross_Section,Neutron_Mass_Absorption,Graph.Period,Graph.Group
Fermium,Fm,100,257,,1800.15,,,1800,,,,,,,120,,,,,,,,,,,,,,,,3,1.3,,,,,,,,,,,,f,,7,[Rn]6d17s2,,,CAS7440-72-4,,,,,,,,,,,,,,0,0,0,0,0,,,,,,8683200,12529728,AlphaEmission,3H6,5800,,9.5,14
Fluorine,F,9,18.9984030,1.696,53.55,85.03,Gas,53.5,85.03,,144.13,0.26,3.27,,904,1/?,,0.0277,,,0.011202,,,,,,,,1.000195,,1,3.98,328,,,2.3,9192,EU231-954-8,0,4,4,RTECSBD0330000,,p,17,2,[Ne]3s23p1,Colorless,Diatomic,CAS7782-41-4,CID24524,Gmelin16281,,,,,,,,,,,0.00004000000000000000,0.00005000000000000000,0.0087,0.054,0.00013,0.0037,0.00000,0.00000,0.000000,C12/c1,15,Inf,Inf,,2P3/2,0.0096,0.00002000000000000000,2,17
Francium,Fr,87,223,,,,Solid,,,35000000.00000,,2,65,,1230,,,,,,,,,,,,,,,,3,0.7,,,,,,,,,,RTECSVY0686000,,s,1,7,[Ne]3s1,Silver,,CAS7440-73-5,,,,,,,,,,,,,,,,,,0,,,,,,21.7,31.7,BetaDecay,2S1/2,,,7,1
Gadolinium,Gd,64,157.25,7901,1586.15,3523.15,Solid,1586,3523,5500000,,10,305,,248.05,,,11,0.00001,7400,0.00002000,,,570000000.00000,38000000000.00000,22000000000.00000,55000000000.00000,0.26,,2680,3,1.2,50,,,,,EU231-162-2,,,,RTECSOC6772500,,f,,6,[Ar]3d104s24p6,Silver,,CAS7440-54-2,CID23982,Gmelin16286,,Conductor,770000,0.00000,1.083,Ferromagnetic,292,,,,0,0,0.00002,0.00052,0,,0.000000,,,P63/mmc,194,Inf,Inf,,9D2,49000,7.3,8.5,10
Gallium,Ga,31,69.723,5904,302.91,2477.15,Solid,302.91,2477,,,5.59,256,,240,,,29,0.00012,6095,0.00001200,60000000,1500000,,,,,,,2740,3,1.81,28.9,,,8,2803,EU231-163-8,0,1,0,RTECSRT3480500,,p,13,4,[Kr]4d10,Silver,,CAS7440-55-3,CID5360835,Gmelin16287,,Conductor,7100000,0.00000,1.083,Diamagnetic,,-0,-0.000000,-0.000018,0.00000100000000000000,0.00000400000000000000,0.00076,0.0019,0,,0.000000,0.000000,0.000000,Cmca,64,Inf,Inf,,2P1/2,2.9,0.0015,4,13
Germanium,Ge,32,72.64,5323,1211.45,3093.15,Solid,1211.4,3093,,,31.8,334,-536,,,,60,0.00000600000000000000,5600,0.00001400,,6000000,,,,,,,5400,4,2.01,119,,,4.1,3089,EU231-164-3,0,1,0,,,p,14,4,[Rn]5f146d47s2,Gray,,CAS7440-56-4,CID6326954,Gmelin93634,,Semiconductor,2000,0.00050000000000000001,,Diamagnetic,,-0.00000,-0.000000,-0.000008,0.00002000000000000000,0.00002000000000000000,0.0021,0.00014,0,,0.000000,0.000000,,Fm_3m,225,Inf,Inf,,3,2.2,0.0011,4,14
Gold,Au,79,196.96655,19300,1337.33,3129.15,Solid,1337.33,3129,,,12.5,330,,,,,320,0.000014,17310,0.0000100,2450000000.000000,2500000,216000000.000000,220000000000.00000,27000000000.00000,78000000000.00000,0.44,,1740,5,2.54,222.8,,,,,EU231-165-9,0,2,0,,Aurum,d,11,6,[Rn]5f146d107s27p5,Gold,,CAS7440-57-5,CID23985,Gmelin16246,,Conductor,45000000.00000,0.00000,,Diamagnetic,,-0.00000,-0.000000,-0.000035,0,0,0.00002,0.00000,0,0.00001000000000000000,0.000000,0.000000,0.000000,Fm_3m,225,Inf,Inf,,2S1/2,98.7,0.017,6,11
Hafnium,Hf,72,178.49,13310,2506.15,4876.15,Solid,2506,4876,,,25.5,630,,230,,,23,0.00001,12000,0.000013000,1700000000.00000,5500000,1760000000.000000,110000000000.00000,30000000000,78000000000.00000,0.37,,3010,4,1.3,0,,,4.2,2545,EU231-166-4,,,,RTECSEU9800000,,d,4,6,[Kr]4d105s2,Gray,,CAS7440-58-6,CID23986,Gmelin16293,,Conductor,3300000,0,0.128,,,0.00000,0.000000,0.000071,0,0,0.00002,0.00033,0,,0.000000,0.00000,,P63/mmc,194,Inf,Inf,,3F2,104,0.02,6,4
Hassium,Hs,108,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,8,7,[Rn]5f137s2,,,CAS54037-57-9,,,,,,,,,,,,,,0,0,0,0,0,,,,,,3996,5004,AlphaEmission,5D4,,,7,8
Helium,He,2,4.002602,0.1785,,4.22000000000000,Gas,,4.22,,5.19,0.02,0.083,,,1/?,,0.1513,,,0.022424,,,,,,,,1.000035,970,0,,0,,,2.2,1963,EU231-168-5,0,1,0,,,p,18,1,[Xe]4f56s2,Colorless,Monoatomic,CAS7440-59-7,CID23987,Gmelin16294,,,,,,Diamagnetic,,-0.00000,-0.000000,-0.000000,23,23,,0.00000,0.00000,,0.00000,0.00000,0.00000,Fm_3m,225,Inf,Inf,,1,0.007,0.00001000000000000000,1,18
